Lista CATSER;;;;;;;
Fonte: DW-Siasg;;;;;;;
Extração realizada em 30/03/2023;;;;;;;
({Tipo Material Serviço} = Serviço) E ({Sit Atual Mat Serv} = Ativo);;;;;;;
;;;;;;;
Tipo Material Serviço;Grupo Serviço;;Classe Material;;Codigo Material Serviço;;Sit Atual Mat Serv
Serviço;112;SERVI¿S DE MANUTEN¿O E SUSTENTA¿O DE SOFTWARE;1121;SERVIÇOS DE MANUTENÇÃO E SUSTENTAÇÃO DE SOFTWARE;25992;MANUTENCAO DE SOFTWARE (CORRETIVA, PREVENTIVA, ADAPTATIVA);Ativo
Serviço;112;SERVI¿S DE MANUTEN¿O E SUSTENTA¿O DE SOFTWARE;1121;SERVIÇOS DE MANUTENÇÃO E SUSTENTAÇÃO DE SOFTWARE;26000;SUSTENTACAO DE SOFTWARE;Ativo
Serviço;113;SERVI¿S DE DOCUMENTA¿O DE SOFTWARE;1131;SERVICOS DE DOCUMENTACAO DE SOFTWARE;26018;DOCUMENTACAO DE SOFTWARE;Ativo
Serviço;114;SERVI¿S SE ENGENHARIA DE REQUISITOS DE SOFTWARE;1141;SERVIÇOS DE ENGENHARIA DE REQUISITOS DE SOFTWARE;26026;ENGENHARIA DE REQUISITOS DE SOFTWARE;Ativo
Serviço;115;SERVI¿S DE MENSURA¿O DE SOFTWARE;1151;SERVIÇOS DE MENSURAÇÃO DE SOFTWARE;26034;MENSURACAO DE SOFTWARE;Ativo
Serviço;116;SERVI¿S DE QUALIDADE DE SOFTWARE;1161;SERVIÇOS DE QUALIDADE DE SOFTWARE;26042;QUALIDADE DE SOFTWARE;Ativo
Serviço;117;SERVI¿ DE IMPLEMENTA¿O ¿GIL DE SOFTWARE;1171;SERVIÇO DE IMPLEMENTAÇÃO ÁGIL DE SOFTWARE;30001;IMPLEMENTACAO AGIL DE SOFTWARE;Ativo
Serviço;131;SERVI¿S DE COMPUTA¿O EM NUVEM;1311;INFRAESTRUTURA COMO SERVIÇO - IAAS;26050;INFRAESTRUTURA COMO SERVICO - IAAS;Ativo
Serviço;131;SERVI¿S DE COMPUTA¿O EM NUVEM;1312;PLATAFORMA COMO SERVIÇO - PAAS;26069;PLATAFORMA COMO SERVICO - PAAS;Ativo
Serviço;131;SERVI¿S DE COMPUTA¿O EM NUVEM;1313;SOFTWARE COMO SERVIÇO - SAAS;26077;SOFTWARE COMO SERVICO - SAAS;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);21873;TELEFONIA FIXA COMUTADA / CONVENCIONAL;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26085;TAXA DE INSTALACAO/HABILITACAO DE SERVICO DE TELEFONIA STFC;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26093;ASSINATURA DE DDR;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26107;ASSINATURA DE RAMAL TELEFONICO;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26115;CHAMADAS LOCAIS FIXO-FIXO STFC-LOCAL-FF;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26123;CHAMADAS LOCAIS FIXO-MOVEL STFC-LOCAL-FM (VC1);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26131;CHAMADAS NACIONAIS FIXO-FIXO STFC-LDN-FF (DEGRAUS 1 A 4);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26140;CHAMADAS NACIONAIS FIXO-MOVEL - STFC-LDN-FM (VC2 E VC3);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26166;TAXA DE INSTALAÇÃO LINK DE INTERNET - STFC (BANDA LARGA);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26174;ACESSO A INTERNET - STFC (BANDA LARGA);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26182;ASSINATURA DE LINHA ANALOGICA;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26190;TAXA INSTALACAO DO SERVIÇO DE DISCAGEM DIRETA GRATUITA (DDG);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26204;ASSINATURA DO SERVIÇO DE DISCAGEM DIRETA GRATUITA (DDG);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26212;DISCAGEM DIRETA GRATUITA (DDG) - FIXO LOCAL;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26220;DISCAGEM DIRETA GRATUITA (DDG) - FIXO INTER-ESTADUAL;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26239;DISCAGEM DIRETA GRATUITA (DDG) - MOVEL LOCAL;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26247;DISCAGEM DIRETA GRATUITA (DDG) - MOVEL INTER-ESTADUAL;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26255;FACILIDADES DO SERVICO DDG (COMUTADO OU DEDICADO);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);26263;"""OUTROS SERVICOS DE TELEFONIA FIXA COMUTADA (STFC - OUTROS)""";Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1411;SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC);27731;ASSINATURA DE ENTRONCAMENTO DIGITAL BIDIRECIONAL E1;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;26271;CHAMADAS  LOCAIS MOVEL-MOVEL  INTRAOPERADORA SMP-LOCAL-MM-IO(VC1);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;26280;CHAMADAS  LOCAIS MOVEL-MOVEL  EXTRAOPERADORA SMP-LOCAL-MM-EO(VC1);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;26298;CHAMADAS LOCAIS MOVEL-FIXO SMP-LOCAL-MF (VC1);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;26301;CHAMADAS  NACIONAIS MOVEL-MOVEL INTRAOPERADORA SMP-LDN-MM-IO(VC2 E VC3);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;26310;CHAMADAS  NACIONAIS MOVEL-MOVEL EXTRAOPERADORA SMP-LDN-MM-EO(VC2 E VC3);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;26328;CHAMADAS NACIONAIS MOVEL-FIXO SMP-LDN-MF (VC2 E VC3);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;26344;ACESSO A INTERNET MOVEL (BANDA LARGA);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;26352;MENSAGENS DE TEXTO (SMS);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;26360;MENSAGENS MULTIMIDIA (MMS);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;26379;CHIP AVULSO;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;26387;PACOTE DE SERVICOS SMP (VOZ, DADOS, SMS, ETC);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;26395;SERVICOS DE GERENCIA DE REDES MOVEIS E DE USUARIOS DESSAS REDES;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;26409;OUTROS SERVICOS MOVEIS PESSOAIS;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;27693;ADICIONAL DE CHAMADAS  -  LIGACOES RECEBIDAS FORA DA AREA DEMOBILIDADE - DENTRO DA AREA DA OPERADORA (SMP AD1-IO);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;27707;ADICIONAL DE CHAMADAS  -  LIGACOES RECEBIDAS FORA DA AREA DEMOBILIDADE - FORA DA AREA DA OPERADORA (SMP AD2-EO);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;27715;SERVICO DE DESLOCAMENTO - LIGACOES RECEBIDA FORA DA AREA  DEMOBILIDADE - DENTRO DA AREA DE NUMERACAO PRIMARIA (SMP DSL1);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;27723;SERVICO DE DESLOCAMENTO - LIGACOES RECEBIDA FORA DA AREA  DEMOBILIDADE - FORA DA AREA DE NUMERACAO PRIMARIA (SMP DSL2);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;27880;SERVIÇO DE DESLOCAMENTO - LIGAÇÕES RECEBIDAS FORA DA ÁREA DE MOBILIDADE - FORA DA ÁREA DE NUMERAÇÃO PRIMÁRIA (SMP DLS3);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;27898;SERVIÇO DE DESLOCAMENTO - LIGAÇÕES RECEBIDAS FORA DA ÁREA DE MOBILIDADE - FORA DA ÁREA DE NUMERAÇÃO PRIMÁRIA (SMP DLS4);Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1412;SMP - SERVIÇO MÓVEL PESSOAL;27910;ACESSO À INTERNET MÓVEL - INTERNET PATROCINADA;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1413;SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP);26158;CHAMADAS INTERNACIONAIS (LDI-STFC-FF) - ORIGEM FIXO;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1413;SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP);26336;CHAMADAS INTERNACIONAIS (LDI-SMP-MF) - ORIGEM MÓVEL;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1413;SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP);27634;CHAMADAS INTERNACIONAIS (LDI-STFC-FM) - ORIGEM FIXO;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1413;SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP);27642;CHAMADAS INTERNACIONAIS (LDI-SMP-MM) - ORIGEM MÓVEL;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1413;SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP);27650;CHAMADAS INTERNACIONAIS (LDI-STFC/SMP-FM/F) - DESTINO FIXO;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1413;SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP);27669;CHAMADAS INTERNACIONAIS (LDI-STFC/SMP-FM/M) - DESTINO MOVEL;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1413;SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP);27839;CHAMADAS INTERNACIONAIS (LDI-STFC-FFM) - ORIGEM FIXO;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1413;SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP);27847;CHAMADAS INTERNACIONAIS (LDI-SMP-MFM) - ORIGEM MÓVEL;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1413;SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP);27855;UTILIZAÇÃO DE VOZ E DADOS EM ROAMING INTERNACIONAL;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1414;SERVIÇOS DE TELECOMUNICAÇÕES SATELITAIS;26417;CHAMADAS LOCAIS - SATELITE;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1414;SERVIÇOS DE TELECOMUNICAÇÕES SATELITAIS;26425;CHAMADAS NACIONAIS (LDN) - SATELITE;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1414;SERVIÇOS DE TELECOMUNICAÇÕES SATELITAIS;26433;CHAMADAS INTERNACIONAIS (LDI) - SATELITE;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1414;SERVIÇOS DE TELECOMUNICAÇÕES SATELITAIS;26441;ACESSO A INTERNET - TELEFONIA SATELITE;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1414;SERVIÇOS DE TELECOMUNICAÇÕES SATELITAIS;26450;ASSINATURA DO SERVICO DE TELECOMUNICACOES - SATELITE;Ativo
Serviço;141;SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS;1414;SERVIÇOS DE TELECOMUNICAÇÕES SATELITAIS;26468;SERVICOS DE GERENCIA DE REDES SATELITAIS E ADMINISTRACAO DE SEUS USUARIOS;Ativo
Serviço;142;SERVI¿S DE COMUNICA¿O DE DADOS;1421;SERVIÇOS DE LINKS VIA CABO;25135;SERVICO REDE COMUNICACAO DADOS E IMAGEM;Ativo
Serviço;142;SERVI¿S DE COMUNICA¿O DE DADOS;1421;SERVIÇOS DE LINKS VIA CABO;26476;TRAFEGO DE DADOS VIA CABO;Ativo
Serviço;142;SERVI¿S DE COMUNICA¿O DE DADOS;1421;SERVIÇOS DE LINKS VIA CABO;26484;ACESSO A INTERNET VIA CABO;Ativo
Serviço;142;SERVI¿S DE COMUNICA¿O DE DADOS;1421;SERVIÇOS DE LINKS VIA CABO;26492;INFOVIA BRASILIA;Ativo
Serviço;142;SERVI¿S DE COMUNICA¿O DE DADOS;1421;SERVIÇOS DE LINKS VIA CABO;26506;SERVICO DE LINK VIA CABO;Ativo
Serviço;142;SERVI¿S DE COMUNICA¿O DE DADOS;1422;SERVIÇOS DE LINKS VIA RÁDIO;26514;TRAFEGO DE DADOS VIA RADIO;Ativo
Serviço;142;SERVI¿S DE COMUNICA¿O DE DADOS;1422;SERVIÇOS DE LINKS VIA RÁDIO;26522;ACESSO A INTERNET VIA RADIO;Ativo
Serviço;142;SERVI¿S DE COMUNICA¿O DE DADOS;1422;SERVIÇOS DE LINKS VIA RÁDIO;26530;ASSINATURA DO SERVICO DE LINK VIA RADIO;Ativo
